# Output Voltage [V], Measured Voltage [V], Measured Voltage Std [V], Frequency [MHz]
-0.618112,-0.041951,0.000039,124.870000
-0.593064,-0.040255,0.000019,125.100000
-0.568015,-0.038578,0.000037,125.140000
-0.542967,-0.036946,0.000000,125.360000
-0.517919,-0.035200,0.000026,125.580000
-0.492871,-0.033547,0.000019,125.820000
-0.467823,-0.031841,0.000037,125.860000
-0.442775,-0.030213,0.000037,126.080000
-0.417726,-0.028522,0.000034,126.310000
-0.392678,-0.026810,0.000039,126.360000
-0.367630,-0.025104,0.000019,126.590000
-0.342582,-0.023422,0.000038,126.820000
-0.317534,-0.021785,0.000038,127.050000
-0.292486,-0.020053,0.000034,127.080000
-0.267437,-0.018386,0.000031,127.320000
-0.242389,-0.016660,0.000019,127.560000
-0.217341,-0.015033,0.000046,127.790000
-0.192293,-0.013341,0.000026,127.830000
-0.167245,-0.011620,0.000019,128.080000
-0.142197,-0.009874,0.000019,128.310000
-0.117148,-0.008236,0.000031,128.360000
-0.092100,-0.006604,0.000039,128.590000
-0.067052,-0.004868,0.000039,128.820000
-0.042004,-0.003201,0.000038,129.070000
-0.016956,-0.001465,0.000038,129.120000
0.008092,0.000232,0.000047,129.360000
0.033141,0.001850,0.000038,129.590000
0.058189,0.003532,0.000019,129.640000
0.083237,0.005258,0.000042,129.880000
0.108285,0.006926,0.000019,130.120000
0.133333,0.008578,0.000026,130.160000
0.158382,0.010290,0.000039,130.390000
0.183430,0.011962,0.000034,130.630000
0.208478,0.013708,0.000038,130.880000
0.233526,0.015425,0.000038,130.920000
0.258574,0.017003,0.000038,131.160000
0.283622,0.018715,0.000037,131.390000
0.308671,0.020412,0.000031,131.630000
0.333719,0.022084,0.000000,131.690000
0.358767,0.023712,0.000038,131.920000
0.383815,0.025458,0.000034,132.150000
0.408863,0.027106,0.000038,132.200000
0.433911,0.028852,0.000034,132.440000
0.458960,0.030554,0.000037,132.690000
0.484008,0.032132,0.000037,132.930000
0.509056,0.033859,0.000031,132.980000
0.534104,0.035590,0.000026,133.230000
0.559152,0.037282,0.000039,133.470000
0.584200,0.038900,0.000019,133.520000
0.609249,0.040612,0.000034,133.750000
0.634297,0.042274,0.000031,133.990000
0.659345,0.044016,0.000026,134.240000
0.684393,0.045742,0.000034,134.280000
