# Voltage [V], Frequency [MHz]
8.670000, 146.960000
8.721000, 147.240000
8.808000, 147.900000
8.913000, 147.900000
9.054000, 148.820000
9.167000, 150.180000
9.251000, 151.360000
9.361000, 151.360000
9.481000, 152.250000
9.488000, 153.500000
9.559000, 153.830000
9.676000, 153.830000
9.839000, 154.740000
9.945000, 156.230000
10.044000, 157.450000
10.086000, 158.310000
10.196000, 158.310000
10.287000, 158.940000
10.313000, 160.050000
10.316000, 160.290000
10.315000, 160.290000
10.317000, 160.290000
10.321000, 160.290000
10.317000, 160.290000
10.310000, 160.290000
10.322000, 160.300000
10.315000, 160.300000
10.312000, 160.300000
10.321000, 160.300000
10.308000, 160.300000
10.317000, 160.300000
10.292000, 160.250000
10.288000, 160.020000
10.268000, 160.020000
10.203000, 159.940000
10.152000, 159.460000
10.081000, 158.490000
10.074000, 158.490000
10.032000, 158.380000
10.000000, 158.070000
9.972000, 157.760000
9.913000, 157.760000
9.888000, 157.310000
9.811000, 156.850000
9.753000, 156.260000
9.693000, 156.260000
9.689000, 155.560000
9.667000, 155.320000
9.645000, 155.160000
9.604000, 155.160000
9.562000, 154.840000
9.529000, 154.420000
9.502000, 154.090000
9.465000, 153.760000
9.418000, 153.760000
9.356000, 153.350000
9.240000, 152.650000
9.186000, 151.600000
9.124000, 151.600000
9.007000, 151.050000
8.940000, 150.060000
8.922000, 149.460000
8.886000, 149.110000
8.815000, 149.110000
8.710000, 148.580000
8.608000, 147.640000
8.526000, 146.610000
8.451000, 146.610000
8.437000, 145.860000
8.389000, 145.430000
8.325000, 145.070000
8.276000, 144.410000
8.195000, 144.410000
8.104000, 143.780000
8.081000, 142.920000
8.003000, 142.480000
7.944000, 142.480000
7.877000, 141.800000
7.787000, 141.140000
7.709000, 140.270000
7.609000, 140.270000
7.468000, 139.440000
7.348000, 138.160000
7.238000, 136.940000
7.137000, 135.920000
7.066000, 135.920000
7.044000, 135.010000
7.003000, 134.680000
6.990000, 134.380000
7.005000, 134.380000
6.989000, 134.370000
7.008000, 134.370000
6.991000, 134.370000
6.999000, 134.370000
7.000000, 134.370000
6.998000, 134.380000
7.004000, 134.390000
7.091000, 134.660000
7.207000, 134.660000
7.343000, 135.800000
7.448000, 136.900000
7.505000, 137.880000
7.672000, 137.880000
7.863000, 138.970000
8.001000, 140.720000
8.138000, 142.280000
8.310000, 142.280000
8.395000, 143.770000
8.465000, 145.010000
8.558000, 145.740000
8.680000, 147.370000
8.802000, 147.370000
8.921000, 148.000000
9.013000, 149.250000
9.114000, 150.180000
9.296000, 150.180000
9.471000, 151.640000
9.663000, 153.590000
9.823000, 155.390000
9.986000, 155.390000
10.211000, 157.060000
10.272000, 159.130000
10.320000, 160.070000
10.317000, 160.280000
10.314000, 160.280000
10.322000, 160.290000
10.312000, 160.290000
10.322000, 160.290000
10.308000, 160.290000
10.321000, 160.290000
10.306000, 160.290000
10.299000, 160.260000
10.259000, 160.260000
10.234000, 160.020000
10.153000, 159.690000
10.046000, 158.950000
9.893000, 157.640000
9.722000, 157.640000
9.584000, 155.950000
9.483000, 154.580000
9.268000, 153.250000
9.113000, 153.250000
8.894000, 151.230000
8.746000, 149.280000
8.545000, 147.610000
8.315000, 144.380000
8.043000, 144.380000
7.834000, 143.010000
7.618000, 140.790000
7.400000, 138.530000
7.260000, 138.530000
7.090000, 136.770000
7.018000, 135.310000
7.005000, 134.520000
6.991000, 134.520000
7.004000, 134.370000
6.990000, 134.370000
7.005000, 134.370000
6.989000, 134.380000
6.999000, 134.380000
7.011000, 134.380000
7.060000, 134.450000
