# Output Voltage [V] ,Measured Voltage [V] ,Measured Voltage Std [V] ,Frequency [MHz]
            2.641509 ,            2.641000 ,                0.000000 ,     149.570400
            2.666667 ,            2.665000 ,                0.000000 ,     149.762700
            2.691824 ,            2.691000 ,                0.000000 ,     149.871300
            2.716981 ,            2.716000 ,                0.000000 ,     150.109400
            2.742138 ,            2.741000 ,                0.000000 ,     150.351300
            2.767296 ,            2.767000 ,                0.000000 ,     150.562100
            2.792453 ,            2.791000 ,                0.000000 ,     150.645900
            2.817610 ,            2.817000 ,                0.000000 ,     150.889100
            2.842767 ,            2.842000 ,                0.000000 ,     151.125900
            2.867925 ,            2.867000 ,                0.000000 ,     151.353500
            2.893082 ,            2.893000 ,                0.000000 ,     151.556000
            2.918239 ,            2.917000 ,                0.000000 ,     151.662200
            2.943396 ,            2.943000 ,                0.000000 ,     151.910900
            2.968553 ,            2.967000 ,                0.000000 ,     152.146200
            2.993711 ,            2.993000 ,                0.000000 ,     152.349600
            3.018868 ,            3.018000 ,                0.000000 ,     152.441100
            3.044025 ,            3.043000 ,                0.000000 ,     152.678000
            3.069182 ,            3.069000 ,                0.000000 ,     152.925300
            3.094340 ,            3.094000 ,                0.000000 ,     153.154200
            3.119497 ,            3.119000 ,                0.000000 ,     153.348200
            3.144654 ,            3.144000 ,                0.000000 ,     153.453000
            3.169811 ,            3.169000 ,                0.000000 ,     153.696300
            3.194969 ,            3.194000 ,                0.000000 ,     153.949100
            3.220126 ,            3.220000 ,                0.000000 ,     154.153400
            3.245283 ,            3.244000 ,                0.000000 ,     154.246000
            3.270440 ,            3.270000 ,                0.000000 ,     154.494000
            3.295597 ,            3.294000 ,                0.000000 ,     154.734300
            3.320755 ,            3.320000 ,                0.000000 ,     154.949200
            3.345912 ,            3.346000 ,                0.000000 ,     155.152600
            3.371069 ,            3.370000 ,                0.000000 ,     155.272600
            3.396226 ,            3.396000 ,                0.000000 ,     155.518800
            3.421384 ,            3.420000 ,                0.000000 ,     155.744100
            3.446541 ,            3.446000 ,                0.000000 ,     155.947100
            3.471698 ,            3.472000 ,                0.000000 ,     156.050200
            3.496855 ,            3.496000 ,                0.000000 ,     156.297900
            3.522013 ,            3.522000 ,                0.000000 ,     156.546300
            3.547170 ,            3.548000 ,                0.000000 ,     156.750800
            3.572327 ,            3.572000 ,                0.000000 ,     156.837400
            3.597484 ,            3.598000 ,                0.000000 ,     157.084300
            3.622642 ,            3.622000 ,                0.000000 ,     157.322600
            3.647799 ,            3.647000 ,                0.000000 ,     157.543200
            3.672956 ,            3.673000 ,                0.000000 ,     157.745500
            3.698113 ,            3.697000 ,                0.000000 ,     157.860100
            3.723270 ,            3.723000 ,                0.000000 ,     158.106200
            3.748428 ,            3.747000 ,                0.000000 ,     158.333700
            3.773585 ,            3.773000 ,                0.000000 ,     158.536100
            3.798742 ,            3.799000 ,                0.000000 ,     158.638100
            3.823899 ,            3.823000 ,                0.000000 ,     158.880100
            3.849057 ,            3.849000 ,                0.000000 ,     159.126900
            3.874214 ,            3.873000 ,                0.000000 ,     159.325500
            3.899371 ,            3.899000 ,                0.000000 ,     159.409600
            3.924528 ,            3.924000 ,                0.000000 ,     159.653200
            3.949686 ,            3.949000 ,                0.000000 ,     159.893100
            3.974843 ,            3.975000 ,                0.000000 ,     160.123900
            4.000000 ,            4.000000 ,                0.000000 ,     160.326000
